                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5481,                 3.2291,                 1.5752,                0.05959,                0.42271,                0.13191,                0.04269,                 2.3887,                 3.2186,                 1.4298,              0.0003334,              0.0003334,              0.0003334
                      2,                 2.2239,                 2.0245,                 1.2791,                0.20293,                0.12793,                0.12206,                0.03863,                 2.5722,                 2.6649,                   1.69,              0.0006767,              0.0006767,              0.0006767
                      3,                  2.187,                 1.9235,                 1.2499,                0.18153,                0.29688,                0.13375,                0.04581,                 2.4144,                 2.9304,                 1.5156,              0.0010131,              0.0010131,              0.0010131
                      4,                 2.1552,                 1.8143,                 1.2576,                0.16479,                0.29657,                0.13298,                0.05111,                 2.3152,                 2.5695,                 1.4097,              0.0013425,              0.0013425,              0.0013425
                      5,                  2.109,                 1.7742,                 1.2691,                0.17725,                0.24743,                0.14927,                0.05238,                 2.3698,                  2.471,                 1.4124,               0.001601,               0.001601,               0.001601
                      6,                 2.0842,                 1.7581,                 1.2787,                0.21414,                0.24063,                0.15619,                0.05698,                 2.2598,                 2.6064,                 1.3761,               0.001601,               0.001601,               0.001601
                      7,                 2.0995,                 1.7545,                 1.2697,                 0.2239,                0.18409,                 0.1294,                0.04952,                 2.3048,                 2.5263,                 1.4218,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.0832,                 1.7286,                 1.2615,                0.16119,                 0.2473,                0.11263,                0.03974,                 2.3428,                 2.8116,                 1.4576,               0.001568,               0.001568,               0.001568
                      9,                 2.0888,                 1.6897,                 1.2605,                0.17665,                 0.2176,                0.11173,                0.04121,                 2.3126,                  2.489,                 1.4069,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.0652,                 1.7139,                   1.26,                0.18068,                0.23614,                0.11305,                0.04031,                 2.2639,                 2.5129,                 1.3691,               0.001535,               0.001535,               0.001535
                     11,                 2.0607,                 1.7131,                 1.2538,                0.13863,                 0.3114,                 0.1203,                0.04455,                 2.3172,                  2.834,                 1.4152,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.0346,                 1.7253,                  1.252,                0.18936,                0.16084,                0.12444,                0.04455,                 2.3443,                 3.0452,                 1.4199,               0.001502,               0.001502,               0.001502
                     13,                 2.0366,                 1.6773,                 1.2505,                 0.2189,                0.23024,                0.15145,                0.05497,                 2.2571,                 2.4012,                 1.3724,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.0361,                 1.7112,                   1.25,                0.16725,                0.15965,                0.11475,                0.04058,                 2.3235,                 2.9256,                 1.4009,               0.001469,               0.001469,               0.001469
                     15,                 2.0686,                 1.6654,                 1.2472,                0.19634,                0.29171,                0.15934,                0.05768,                 2.2342,                   2.45,                 1.3545,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.0575,                 1.6895,                 1.2698,                0.22963,                0.27107,                0.19612,                0.07151,                 2.2218,                 2.3067,                 1.3619,               0.001436,               0.001436,               0.001436
                     17,                 2.0466,                 1.6585,                 1.2649,                0.16619,                0.32184,                0.15591,                0.05383,                 2.3025,                 2.4869,                 1.4264,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.0172,                 1.6679,                 1.2408,                0.25327,                0.20785,                0.15757,                0.05436,                 2.3226,                 2.4405,                 1.4356,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.0148,                 1.6474,                 1.2486,                 0.1678,                0.35425,                0.16057,                0.05644,                 2.3036,                 2.3929,                 1.4304,              0.0013864,              0.0013864,              0.0013864
